episode,average_reward
100,5.713583946228027
200,5.281409740447998
300,6.1243767738342285
400,6.045894145965576
500,7.067506313323975
600,7.3467864990234375
700,6.921026229858398
800,8.859966278076172
900,8.146098136901855
1000,9.694984436035156
1100,10.199721336364746
1200,12.533036231994629
1300,20.983116149902344
1400,40.032901763916016
1500,64.13288879394531
1600,78.63020324707031
1700,83.58853149414062
1800,83.99388885498047
1900,88.18362426757812
2000,98.32032012939453
2100,95.99942016601562
2200,107.33374786376953
